iter	Logloss
0	0.6618160795
1	0.6330461059
2	0.6068190376
3	0.5829671815
4	0.5609766188
5	0.5409505882
6	0.5230750301
7	0.5068056993
8	0.4918309942
9	0.4778318168
10	0.4649356621
11	0.4533526266
12	0.4425163957
13	0.4315167204
14	0.4215407325
15	0.4123735457
16	0.4037946044
17	0.3959854428
18	0.3889296652
19	0.3822785432
20	0.3761572439
21	0.3705429189
22	0.3647661756
23	0.3592681733
24	0.3542662593
25	0.3497356662
26	0.3454551124
27	0.3414913244
28	0.3378416212
29	0.3344839175
30	0.3313496891
31	0.3284321675
32	0.3257409249
33	0.3231908529
34	0.3208815669
35	0.3187110746
36	0.316714486
37	0.3148007495
38	0.3129537969
39	0.3112555537
40	0.3096940761
41	0.3082297265
42	0.3068797365
43	0.3056191567
44	0.3043934208
45	0.3031686418
46	0.3020484658
47	0.3010155978
48	0.2999945161
49	0.298993682
50	0.2980690744
51	0.2971646107
52	0.2962823537
53	0.2954434076
54	0.2946387843
55	0.2938606451
56	0.2931541704
57	0.2924433153
58	0.2917998346
59	0.2911585026
60	0.2905394959
61	0.2899161835
62	0.2893389084
63	0.2887884344
64	0.2882612433
65	0.2877554465
66	0.2872597328
67	0.2867772436
68	0.2863375123
69	0.2859009953
70	0.2854805384
71	0.2850680092
72	0.2846881937
73	0.2843033474
74	0.2839476831
75	0.28359295
76	0.2832754256
77	0.2829606879
78	0.2826448486
79	0.2823165835
80	0.2820149021
81	0.281730023
82	0.2814593024
83	0.2811725128
84	0.2809053813
85	0.2806548145
86	0.2804145525
87	0.2801609539
88	0.2799595951
89	0.2797285344
90	0.2795209062
91	0.2793092061
92	0.2791209282
93	0.2789282372
94	0.2787230883
95	0.2785498787
96	0.2783777698
97	0.2782114265
98	0.2780352184
99	0.2778659331
100	0.2777169264
101	0.2775635388
102	0.277424892
103	0.2772635822
104	0.277123653
105	0.2769901222
106	0.2768574488
107	0.2767330578
108	0.2766072058
109	0.2764897296
110	0.2763892786
111	0.276272808
112	0.276165658
113	0.2760612958
114	0.2759426128
115	0.2758411475
116	0.2757510196
117	0.2756530504
118	0.2755587033
119	0.2754646219
120	0.2753631291
121	0.2752873245
122	0.2752013933
